項次,出入口名稱,出入口編號,經度,緯度
1,頂埔站出口1,1,121.418218,24.959306
2,頂埔站出口2,2,121.419,24.95931
3,頂埔站出口3,3,121.4196,24.95962
4,頂埔站出口4,4,121.4201,24.96039
5,松山機場站出口1,1,121.552335,25.063717
6,松山機場站出口2,2,121.551294,25.063673
7,松山機場站出口3,3,121.552241,25.062923
8,中山國中站出口,0,121.544031,25.060889
9,忠孝復興站出口1,1,121.543143,25.041797
10,忠孝復興站出口2,2,121.543422,25.041355
11,忠孝復興站出口3,3,121.544806,25.041467
12,忠孝復興站出口4,4,121.54506,25.041772
13,忠孝復興站出口5,5,121.543985,25.04202
14,大安站出口1,1,121.541949,25.033508
15,大安站出口2,2,121.541826,25.033515
16,大安站出口3,3,121.54233,25.033241
17,大安站出口4,4,121.544057,25.033066
18,大安站出口5,5,121.543719,25.032862
19,大安站出口6,6,121.543749,25.034006
20,科技大樓站出口,0,121.543636,25.026154
21,六張犁站出口,0,121.552737,25.023852
22,麟光站出口,0,121.558606,25.018554
23,辛亥站出口,0,121.557021,25.005119
24,萬芳醫院站出口,0,121.557737,24.999383
25,萬芳社區站出口,0,121.568409,24.99858
26,木柵站出口,0,121.573417,24.998174
27,動物園站出口1,1,121.579916,24.99825
28,動物園站出口2,2,121.579417,24.997948
29,大直站出口1,1,121.547104,25.080118
30,大直站出口2,2,121.546823,25.079584
31,大直站出口3,3,121.546901,25.07931
32,劍南路站出口1,1,121.555226,25.085174
33,劍南路站出口2,2,121.555097,25.084754
34,劍南路站出口3,3,121.556098,25.084484
35,西湖站出口1,1,121.566647,25.082339
36,西湖站出口2,2,121.567141,25.082023
37,港墘站出口1,1,121.57556,25.080152
38,港墘站出口2,2,121.574704,25.080065
39,文德站出口1,1,121.58564,25.078671
40,文德站出口2,2,121.58447,25.078408
41,內湖站出口1,1,121.594266,25.083745
42,內湖站出口2,2,121.594612,25.083636
43,大湖公園站出口1,1,121.602377,25.083894
44,大湖公園站出口2,2,121.60221,25.083675
45,葫洲站出口1,1,121.608047,25.072638
46,葫洲站出口2,2,121.607197,25.072534
47,東湖站出口1,1,121.611129,25.067218
48,東湖站出口2,2,121.611239,25.067111
49,東湖站出口3,3,121.611724,25.067053
50,南港軟體園區站出口1,1,121.615817,25.059995
51,南港軟體園區站出口2,2,121.616091,25.059883
52,南港展覽館站出口1,1,121.616936,25.055847
53,南港展覽館站出口2,2,121.616984,25.055308
54,南港展覽館站出口3,3,121.618239,25.055123
55,南港展覽館站出口4,4,121.618266,25.055386
56,南港展覽館站出口2A,2A,121.617043,25.05524
57,南港展覽館站出口5,5,121.616861,25.054917
58,南港展覽館站出口6,6,121.618183,25.054739
59,南港展覽館站出口7,7,121.618148,25.054035
60,小碧潭站出口1,1,121.530311,24.971684
61,小碧潭站出口2,2,121.52995,24.973192
62,新店站出口,0,121.537558,24.957877
63,新店區公所站出口1,1,121.541124,24.967393
64,新店區公所站出口2,2,121.541845,24.967986
65,七張站出口1,1,121.543068,24.975025
66,七張站出口2,2,121.542641,24.97691
67,大坪林站出口1,1,121.540874,24.982754
68,大坪林站出口2,2,121.541619,24.982051
69,大坪林站出口3,3,121.541572,24.982982
70,大坪林站出口4,4,121.541405,24.983539
71,大坪林站出口5,5,121.543209,24.982859
72,景美站出口1,1,121.540933,24.992296
73,景美站出口2,2,121.541517,24.993069
74,景美站出口3,3,121.540546,24.992744
75,萬隆站出口1,1,121.538896,25.001367
76,萬隆站出口2,2,121.539613,25.00151
77,萬隆站出口3,3,121.539195,25.002215
78,萬隆站出口4,4,121.538572,25.002676
79,公館站出口1,1,121.534377,25.014509
80,公館站出口2,2,121.534721,25.014718
81,公館站出口3,3,121.534055,25.015413
82,公館站出口4,4,121.533623,25.015148
83,台電大樓站出口1,1,121.528577,25.01962
84,台電大樓站出口2,2,121.529093,25.020192
85,台電大樓站出口3,3,121.527849,25.021179
86,台電大樓站出口4,4,121.527297,25.021018
87,台電大樓站出口5,5,121.527739,25.020758
88,古亭站出口1,1,121.522973,25.025976
89,古亭站出口2,2,121.523353,25.025502
90,古亭站出口3,3,121.523353,25.026078
91,古亭站出口4,4,121.523069,25.026424
92,古亭站出口5,5,121.522873,25.027184
93,古亭站出口6,6,121.522297,25.027537
94,古亭站出口7,7,121.521937,25.02742
95,古亭站出口8,8,121.521894,25.027056
96,古亭站出口9,9,121.522404,25.026798
97,中正紀念堂站出口1,1,121.517764,25.033034
98,中正紀念堂站出口2,2,121.518261,25.032406
99,中正紀念堂站出口3,3,121.519,25.032281
100,中正紀念堂站出口4,4,121.51796,25.033525
101,中正紀念堂站出口5,5,121.517109,25.035148
102,中正紀念堂站出口6,6,121.516543,25.03588
103,中正紀念堂站出口7,7,121.515983,25.034565
104,小南門站出口1,1,121.509752,25.036434
105,小南門站出口2,2,121.509865,25.035736
106,小南門站出口3,3,121.510988,25.035309
107,小南門站出口4,4,121.511455,25.035226
108,頂溪站出口1,1,121.515414,25.012895
109,頂溪站出口2,2,121.515446,25.014222
110,永安市場站出口,0,121.510962,25.002375
111,景安站出口,0,121.504632,24.993731
112,南勢角站出口1,1,121.508639,24.990016
113,南勢角站出口2,2,121.508853,24.989919
114,南勢角站出口3,3,121.509395,24.989651
115,南勢角站出口4,4,121.509776,24.989486
116,台大醫院站出口1,1,121.515731,25.040913
117,台大醫院站出口2,2,121.516589,25.041224
118,台大醫院站出口3,3,121.516632,25.042808
119,台大醫院站出口4,4,121.516299,25.042876
120,台北車站M5,M5,121.516246,25.046755
121,台北車站M6,M6,121.516787,25.046234
122,台北車站M7,M7,121.518643,25.046077
123,台北車站M8,M8,121.517479,25.045948
124,台北車站M1,M1,121.518193,25.048232
125,台北車站M2,M2,121.519067,25.048064
126,台北車站M3,M3,121.517882,25.046337
127,台北車站M4,M4,121.517345,25.046485
128,雙連站出口1,1,121.520588,25.057499
129,雙連站出口2,2,121.520615,25.057825
130,民權西路站出口1,1,121.519454,25.062641
131,民權西路站出口4,4,121.519867,25.061936
132,民權西路站出口3,3,121.519786,25.061766
133,民權西路站出口2,2,121.519614,25.061878
134,民權西路站出口5,5,121.518558,25.063122
135,民權西路站出口6,6,121.51853,25.062693
136,民權西路站出口7,7,121.520092,25.06267
137,民權西路站出口8,8,121.520602,25.06266
138,民權西路站出口9,9,121.520744,25.063027
139,民權西路站出口10,10,121.519791,25.063063
140,圓山站出口1,1,121.520033,25.070785
141,圓山站出口2,2,121.520108,25.071776
142,劍潭站出口1,1,121.525175,25.08503
143,劍潭站出口2,2,121.524807,25.083466
144,劍潭站出口3,3,121.52496,25.084284
145,士林站出口1,1,121.525966,25.094106
146,士林站出口2,2,121.526433,25.092901
147,芝山站出口1,1,121.522636,25.102046
148,芝山站出口2,2,121.522356,25.103804
149,明德站出口1,1,121.519153,25.109298
150,明德站出口2,2,121.518728,25.110008
151,明德站出口3,3,121.518495,25.110163
152,石牌站出口1,1,121.515171,25.115007
153,石牌站出口2,2,121.516205,25.113602
154,唭哩岸站出口1,1,121.506987,25.120673
155,唭哩岸站出口2,2,121.50589,25.120854
156,奇岩站出口,0,121.50096,25.126169
157,北投站出口1,1,121.49824,25.132316
158,北投站出口2,2,121.4992307,25.1310726
159,新北投站出口1,1,121.503524,25.136968
160,新北投站出口2,2,121.502455,25.136834
161,復興崗站出口2,2,121.485159,25.137325
162,復興崗站出口1,1,121.485373,25.137665
163,忠義站出口1,1,121.473169,25.131056
164,忠義站出口2,2,121.473657,25.130905
165,關渡站出口1,1,121.467215,25.125431
166,關渡站出口2,2,121.466861,25.12547
167,竹圍站出口1,1,121.459726,25.136971
168,竹圍站出口2,2,121.459383,25.136854
169,紅樹林站出口1,1,121.459039,25.154137
170,紅樹林站出口2,2,121.458583,25.153831
171,淡水站出口1,1,121.445355,25.168084
172,淡水站出口2,2,121.445988,25.167577
173,淡水站出口3,3,121.445573,25.167601
174,永寧站出口1,1,121.435254,24.966714
175,永寧站出口2,2,121.43568,24.966102
176,永寧站出口3,3,121.436799,24.966947
177,永寧站出口4,4,121.436412,24.967191
178,土城站出口1,1,121.444173,24.973251
179,土城站出口2,2,121.443671,24.972663
180,土城站出口3,3,121.445266,24.973714
181,海山站出口1,1,121.448615,24.985375
182,海山站出口2,2,121.448956,24.985329
183,海山站出口3,3,121.449127,24.98609
184,亞東醫院站出口1,1,121.452581,24.998933
185,亞東醫院站出口2,2,121.452388,24.998252
186,亞東醫院站出口3,3,121.45287,24.998875
187,府中站出口1,1,121.459077,25.008486
188,府中站出口2,2,121.459501,25.008943
189,府中站出口3,3,121.45897,25.009162
190,板橋站出口1,1,121.461754,25.013416
191,板橋站出口2,2,121.462483,25.013192
192,板橋站出口3,3,121.462589,25.014554
193,新埔站出口1,1,121.467457,25.023063
194,新埔站出口2,2,121.468176,25.0222
195,新埔站出口3,3,121.468574,25.022844
196,新埔站出口4,4,121.468728,25.023638
197,新埔站出口5,5,121.468138,25.024163
198,江子翠站出口1,1,121.471914,25.030298
199,江子翠站出口2,2,121.471903,25.029782
200,江子翠站出口3,3,121.472156,25.029459
201,江子翠站出口4,4,121.472719,25.029763
202,江子翠站出口5,5,121.473609,25.031027
203,江子翠站出口6,6,121.473126,25.031095
204,龍山寺站出口1,1,121.49953,25.035484
205,龍山寺站出口2,2,121.499798,25.035109
206,龍山寺站出口3,3,121.501622,25.035421
207,善導寺站出口1,1,121.523009,25.045097
208,善導寺站出口2,2,121.523053,25.044796
209,善導寺站出口3,3,121.523734,25.044568
210,善導寺站出口4,4,121.524217,25.044111
211,善導寺站出口5,5,121.52482,25.044256
212,善導寺站出口6,6,121.524898,25.044632
213,忠孝新生站出口2,2,121.532065,25.042103
214,忠孝新生站出口3,3,121.53368,25.041783
215,忠孝新生站出口4,4,121.533213,25.042458
216,忠孝新生站出口1,1,121.531829,25.042784
217,忠孝新生站出口5,5,121.532232,25.041214
218,忠孝新生站出口6,6,121.533068,25.040791
219,忠孝新生站出口7,7,121.533068,25.041729
220,忠孝敦化站出口1,1,121.550578,25.041642
221,忠孝敦化站出口2,2,121.551694,25.041632
222,忠孝敦化站出口3,3,121.551586,25.04134
223,忠孝敦化站出口4,4,121.550567,25.04135
224,忠孝敦化站出口5,5,121.549824,25.041238
225,忠孝敦化站出口6,6,121.549174,25.041029
226,忠孝敦化站出口7,7,121.549913,25.041661
227,忠孝敦化站出口8,8,121.549194,25.041928
228,國父紀念館站出口1,1,121.556663,25.041838
229,國父紀念館站出口2,2,121.556704,25.041029
230,國父紀念館站出口3,3,121.557981,25.041195
231,國父紀念館站出口4,4,121.558539,25.04117
232,國父紀念館站出口5,5,121.558002,25.041501
233,市政府站出口1,1,121.565459,25.041408
234,市政府站出口2,2,121.565062,25.040971
